#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-01-27 14:24:44 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 02091500 CONTENTNEA CREEK AT HOOKERTON, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		85389	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	02091500	00060	85389	1945	11	462.5
USGS	02091500	00060	85389	1945	12	1195
USGS	02091500	00060	85389	1946	1	2043
USGS	02091500	00060	85389	1946	2	1859
USGS	02091500	00060	85389	1946	3	725.7
USGS	02091500	00060	85389	1946	4	579.8
USGS	02091500	00060	85389	1946	5	1214
USGS	02091500	00060	85389	1946	6	454.5
USGS	02091500	00060	85389	1946	7	496.5
USGS	02091500	00060	85389	1946	8	359.6
USGS	02091500	00060	85389	1946	9	248.2
USGS	02091500	00060	85389	1946	10	239.9
USGS	02091500	00060	85389	1946	11	413.9
USGS	02091500	00060	85389	1946	12	562.4
USGS	02091500	00060	85389	1947	1	1060
USGS	02091500	00060	85389	1947	2	500.1
USGS	02091500	00060	85389	1947	3	788.4
USGS	02091500	00060	85389	1947	4	1046
USGS	02091500	00060	85389	1947	5	231.9
USGS	02091500	00060	85389	1947	6	171.5
USGS	02091500	00060	85389	1947	7	586.5
USGS	02091500	00060	85389	1947	8	291.7
USGS	02091500	00060	85389	1947	9	622.3
USGS	02091500	00060	85389	1947	10	548.9
USGS	02091500	00060	85389	1947	11	2150
USGS	02091500	00060	85389	1947	12	1149
USGS	02091500	00060	85389	1948	1	1349
USGS	02091500	00060	85389	1948	2	4316
USGS	02091500	00060	85389	1948	3	2056
USGS	02091500	00060	85389	1948	4	793.6
USGS	02091500	00060	85389	1948	5	348.4
